rank,trial_id,loss,num_beams,temperature,top_p,cfg_rate,diffusion_steps,lindsey_mean,lindsey_std,BC_mean,BC_std,phase09_closest
1,0,33.55,5,0.6993292420985183,0.7390046601106091,0.48719342440344315,25,62.1,0.0,70.8,0.0,1
2,25,36.86666666666667,5,0.6273956745546677,0.7542336958469741,0.8869422905409682,60,59.1,1.1575836902790237,67.16666666666667,1.862495339293197,0
3,15,37.15,5,0.6352145581280433,0.7070860526791761,1.0326252389697692,60,59.9,2.5152865973217957,65.8,2.201514630127785,0
4,13,37.75,5,0.6585006738258347,0.7856998220665791,0.6505661093259889,60,57.866666666666674,3.3008416435139,66.63333333333333,3.442221504913488,0
5,21,38.03333333333333,5,0.6515033548403111,0.7640058022904103,0.6841402902287821,60,56.56666666666666,5.756349151637309,67.36666666666666,3.081485933045221,0
6,10,38.833333333333336,5,0.7736970936526044,0.8535118801604474,0.36450404221622235,15,57.26666666666667,0.7133644853010912,65.06666666666666,1.4055445761538667,0
7,14,39.25,7,0.6531227651307875,0.7851542873197417,0.6911056645147798,60,58.166666666666664,2.1483844059096033,63.333333333333336,1.5107025591499557,0
8,31,39.53333333333333,5,0.6789549844753916,0.7508831114903478,0.6017134091916462,60,56.86666666666667,1.9189117286165684,64.06666666666666,2.747524137999315,0
9,7,40.55,3,0.5831809216468459,0.814017496054259,1.2422111536716163,40,57.833333333333336,3.498888712466036,61.06666666666666,2.033606539022618,0
10,2,41.65,3,0.5831809216468459,0.814017496054259,1.2422111536716163,40,58.1,0.0,58.6,0.0,0
